State,2016,2025,PercentageChange
Alabama,89,110,23.6
Alaska,6.8,11,61.8
Arizona,130,200,53.8
Arkansas,54,67,24.1
California,610,840,37.7
Colorado,67,92,37.3
Connecticut,74,91,23
Delaware,17,23,35.3
District of Columbia,9,9,0
Florida,510,720,41.2
Georgia,130,190,46.2
Hawaii,26,35,34.6
Idaho,23,33,43.5
Illinois,220,260,18.2
Indiana,110,130,18.2
Iowa,63,73,15.9
Kansas,51,62,21.6
Kentucky,69,86,24.6
Louisiana,84,110,31
Maine,26,35,34.6
Maryland,100,130,30
Massachusetts,120,150,25
Michigan,180,220,22.2
Minnesota,91,120,31.9
Mississippi,52,65,25
Missouri,110,130,18.2
Montana,19,27,42.1
Nebraska,33,40,21.2
Nevada,41,64,56.1
New Hampshire,23,32,39.1
New Jersey,170,210,23.5
New Mexico,37,53,43.2
New York,390,460,17.9
North Carolina,160,210,31.3
North Dakota,14,16,14.3
Ohio,210,250,19
Oklahoma,62,76,22.6
Oregon,62,84,35.5
Pennsylvania,270,320,18.5
Rhode Island,23,27,17.4
South Carolina,84,120,42.9
South Dakota,17,20,17.6
Tennessee,110,140,27.3
Texas,350,490,40
Utah,30,42,40
Vermont,12,17,41.7
Virginia,140,190,35.7
Washington,100,140,40
West Virginia,37,44,18.9
Wisconsin,110,130,18.2
Wyoming,9.1,13,42.9