key,value,date
AL,3.86,1/1/15
AL,4.01,1/1/16
AL,4.15,1/1/17
AL,4.30,1/1/18
AL,4.45,1/1/19
AL,4.59,1/1/20
AL,4.74,1/1/21
AL,4.89,1/1/22
AL,5.03,1/1/23
AL,5.18,1/1/24
AL,5.33,1/1/25
AK,1.04,1/1/15
AK,1.12,1/1/16
AK,1.20,1/1/17
AK,1.28,1/1/18
AK,1.37,1/1/19
AK,1.45,1/1/20
AK,1.53,1/1/21
AK,1.62,1/1/22
AK,1.70,1/1/23
AK,1.78,1/1/24
AK,1.87,1/1/25
AZ,7.76,1/1/15
AZ,7.94,1/1/16
AZ,8.13,1/1/17
AZ,8.31,1/1/18
AZ,8.50,1/1/19
AZ,8.68,1/1/20
AZ,8.87,1/1/21
AZ,9.05,1/1/22
AZ,9.24,1/1/23
AZ,9.42,1/1/24
AZ,9.61,1/1/25
AR,4.04,1/1/15
AR,4.27,1/1/16
AR,4.50,1/1/17
AR,4.73,1/1/18
AR,4.96,1/1/19
AR,5.19,1/1/20
AR,5.42,1/1/21
AR,5.65,1/1/22
AR,5.88,1/1/23
AR,6.11,1/1/24
AR,6.34,1/1/25
CA,62.27,1/1/15
CA,66.05,1/1/16
CA,69.82,1/1/17
CA,73.59,1/1/18
CA,77.36,1/1/19
CA,81.14,1/1/20
CA,84.91,1/1/21
CA,88.68,1/1/22
CA,92.45,1/1/23
CA,96.23,1/1/24
CA,100.00,1/1/25
CO,5.36,1/1/15
CO,5.60,1/1/16
CO,5.84,1/1/17
CO,6.08,1/1/18
CO,6.32,1/1/19
CO,6.56,1/1/20
CO,6.80,1/1/21
CO,7.04,1/1/22
CO,7.27,1/1/23
CO,7.51,1/1/24
CO,7.75,1/1/25
CT,5.72,1/1/15
CT,5.54,1/1/16
CT,5.35,1/1/17
CT,5.16,1/1/18
CT,4.98,1/1/19
CT,4.79,1/1/20
CT,4.60,1/1/21
CT,4.42,1/1/22
CT,4.23,1/1/23
CT,4.04,1/1/24
CT,3.85,1/1/25
DE,1.36,1/1/15
DE,1.47,1/1/16
DE,1.59,1/1/17
DE,1.71,1/1/18
DE,1.83,1/1/19
DE,1.95,1/1/20
DE,2.06,1/1/21
DE,2.18,1/1/22
DE,2.30,1/1/23
DE,2.42,1/1/24
DE,2.53,1/1/25
DC,1.74,1/1/15
DC,1.84,1/1/16
DC,1.93,1/1/17
DC,2.03,1/1/18
DC,2.13,1/1/19
DC,2.23,1/1/20
DC,2.32,1/1/21
DC,2.42,1/1/22
DC,2.52,1/1/23
DC,2.62,1/1/24
DC,2.71,1/1/25
FL,15.65,1/1/15
FL,16.05,1/1/16
FL,16.45,1/1/17
FL,16.85,1/1/18
FL,17.25,1/1/19
FL,17.65,1/1/20
FL,18.05,1/1/21
FL,18.45,1/1/22
FL,18.84,1/1/23
FL,19.24,1/1/24
FL,19.64,1/1/25
GA,7.11,1/1/15
GA,7.47,1/1/16
GA,7.83,1/1/17
GA,8.19,1/1/18
GA,8.55,1/1/19
GA,8.91,1/1/20
GA,9.27,1/1/21
GA,9.63,1/1/22
GA,9.99,1/1/23
GA,10.35,1/1/24
GA,10.71,1/1/25
HI,1.47,1/1/15
HI,1.51,1/1/16
HI,1.56,1/1/17
HI,1.61,1/1/18
HI,1.65,1/1/19
HI,1.70,1/1/20
HI,1.75,1/1/21
HI,1.80,1/1/22
HI,1.84,1/1/23
HI,1.89,1/1/24
HI,1.94,1/1/25
ID,1.26,1/1/15
ID,1.33,1/1/16
ID,1.39,1/1/17
ID,1.46,1/1/18
ID,1.52,1/1/19
ID,1.59,1/1/20
ID,1.66,1/1/21
ID,1.72,1/1/22
ID,1.79,1/1/23
ID,1.85,1/1/24
ID,1.92,1/1/25
IL,12.42,1/1/15
IL,13.09,1/1/16
IL,13.76,1/1/17
IL,14.44,1/1/18
IL,15.11,1/1/19
IL,15.78,1/1/20
IL,16.46,1/1/21
IL,17.13,1/1/22
IL,17.80,1/1/23
IL,18.47,1/1/24
IL,19.15,1/1/25
IN,6.80,1/1/15
IN,7.09,1/1/16
IN,7.37,1/1/17
IN,7.66,1/1/18
IN,7.95,1/1/19
IN,8.23,1/1/20
IN,8.52,1/1/21
IN,8.80,1/1/22
IN,9.09,1/1/23
IN,9.38,1/1/24
IN,9.66,1/1/25
IA,3.33,1/1/15
IA,3.41,1/1/16
IA,3.48,1/1/17
IA,3.56,1/1/18
IA,3.64,1/1/19
IA,3.72,1/1/20
IA,3.80,1/1/21
IA,3.88,1/1/22
IA,3.96,1/1/23
IA,4.04,1/1/24
IA,4.12,1/1/25
KS,2.22,1/1/15
KS,2.33,1/1/16
KS,2.44,1/1/17
KS,2.55,1/1/18
KS,2.66,1/1/19
KS,2.77,1/1/20
KS,2.89,1/1/21
KS,3.00,1/1/22
KS,3.11,1/1/23
KS,3.22,1/1/24
KS,3.33,1/1/25
KY,6.92,1/1/15
KY,7.05,1/1/16
KY,7.17,1/1/17
KY,7.29,1/1/18
KY,7.41,1/1/19
KY,7.53,1/1/20
KY,7.65,1/1/21
KY,7.78,1/1/22
KY,7.90,1/1/23
KY,8.02,1/1/24
KY,8.14,1/1/25
LA,5.87,1/1/15
LA,5.94,1/1/16
LA,6.01,1/1/17
LA,6.08,1/1/18
LA,6.15,1/1/19
LA,6.22,1/1/20
LA,6.28,1/1/21
LA,6.35,1/1/22
LA,6.42,1/1/23
LA,6.49,1/1/24
LA,6.56,1/1/25
ME,1.88,1/1/15
ME,1.91,1/1/16
ME,1.94,1/1/17
ME,1.97,1/1/18
ME,2.00,1/1/19
ME,2.03,1/1/20
ME,2.06,1/1/21
ME,2.09,1/1/22
ME,2.12,1/1/23
ME,2.14,1/1/24
ME,2.17,1/1/25
MD,6.96,1/1/15
MD,7.20,1/1/16
MD,7.44,1/1/17
MD,7.68,1/1/18
MD,7.92,1/1/19
MD,8.16,1/1/20
MD,8.40,1/1/21
MD,8.64,1/1/22
MD,8.88,1/1/23
MD,9.12,1/1/24
MD,9.36,1/1/25
MA,11.34,1/1/15
MA,11.78,1/1/16
MA,12.22,1/1/17
MA,12.66,1/1/18
MA,13.09,1/1/19
MA,13.53,1/1/20
MA,13.97,1/1/21
MA,14.40,1/1/22
MA,14.84,1/1/23
MA,15.28,1/1/24
MA,15.71,1/1/25
MI,11.62,1/1/15
MI,12.07,1/1/16
MI,12.52,1/1/17
MI,12.96,1/1/18
MI,13.41,1/1/19
MI,13.86,1/1/20
MI,14.30,1/1/21
MI,14.75,1/1/22
MI,15.19,1/1/23
MI,15.64,1/1/24
MI,16.09,1/1/25
MN,7.97,1/1/15
MN,8.23,1/1/16
MN,8.49,1/1/17
MN,8.75,1/1/18
MN,9.01,1/1/19
MN,9.27,1/1/20
MN,9.53,1/1/21
MN,9.79,1/1/22
MN,10.04,1/1/23
MN,10.30,1/1/24
MN,10.56,1/1/25
MS,3.76,1/1/15
MS,3.87,1/1/16
MS,3.99,1/1/17
MS,4.10,1/1/18
MS,4.22,1/1/19
MS,4.33,1/1/20
MS,4.45,1/1/21
MS,4.56,1/1/22
MS,4.67,1/1/23
MS,4.79,1/1/24
MS,4.90,1/1/25
MO,7.00,1/1/15
MO,7.19,1/1/16
MO,7.38,1/1/17
MO,7.57,1/1/18
MO,7.76,1/1/19
MO,7.95,1/1/20
MO,8.14,1/1/21
MO,8.33,1/1/22
MO,8.52,1/1/23
MO,8.71,1/1/24
MO,8.90,1/1/25
MT,0.84,1/1/15
MT,0.88,1/1/16
MT,0.92,1/1/17
MT,0.96,1/1/18
MT,1.01,1/1/19
MT,1.05,1/1/20
MT,1.09,1/1/21
MT,1.13,1/1/22
MT,1.17,1/1/23
MT,1.22,1/1/24
MT,1.26,1/1/25
NE,1.38,1/1/15
NE,1.44,1/1/16
NE,1.50,1/1/17
NE,1.56,1/1/18
NE,1.63,1/1/19
NE,1.69,1/1/20
NE,1.75,1/1/21
NE,1.81,1/1/22
NE,1.87,1/1/23
NE,1.94,1/1/24
NE,2.00,1/1/25
NV,2.28,1/1/15
NV,2.38,1/1/16
NV,2.48,1/1/17
NV,2.58,1/1/18
NV,2.68,1/1/19
NV,2.78,1/1/20
NV,2.88,1/1/21
NV,2.98,1/1/22
NV,3.09,1/1/23
NV,3.19,1/1/24
NV,3.29,1/1/25
NH,1.26,1/1/15
NH,1.34,1/1/16
NH,1.42,1/1/17
NH,1.50,1/1/18
NH,1.58,1/1/19
NH,1.66,1/1/20
NH,1.74,1/1/21
NH,1.82,1/1/22
NH,1.90,1/1/23
NH,1.98,1/1/24
NH,2.06,1/1/25
NJ,10.38,1/1/15
NJ,10.81,1/1/16
NJ,11.24,1/1/17
NJ,11.68,1/1/18
NJ,12.11,1/1/19
NJ,12.54,1/1/20
NJ,12.98,1/1/21
NJ,13.41,1/1/22
NJ,13.84,1/1/23
NJ,14.28,1/1/24
NJ,14.71,1/1/25
NM,3.60,1/1/15
NM,3.70,1/1/16
NM,3.81,1/1/17
NM,3.92,1/1/18
NM,4.03,1/1/19
NM,4.14,1/1/20
NM,4.25,1/1/21
NM,4.36,1/1/22
NM,4.47,1/1/23
NM,4.58,1/1/24
NM,4.68,1/1/25
NY,43.59,1/1/15
NY,43.50,1/1/16
NY,43.41,1/1/17
NY,43.32,1/1/18
NY,43.23,1/1/19
NY,43.13,1/1/20
NY,43.04,1/1/21
NY,42.95,1/1/22
NY,42.86,1/1/23
NY,42.77,1/1/24
NY,42.68,1/1/25
NC,9.83,1/1/15
NC,10.12,1/1/16
NC,10.40,1/1/17
NC,10.69,1/1/18
NC,10.98,1/1/19
NC,11.27,1/1/20
NC,11.55,1/1/21
NC,11.84,1/1/22
NC,12.13,1/1/23
NC,12.42,1/1/24
NC,12.70,1/1/25
ND,0.80,1/1/15
ND,0.40,1/1/16
ND,0.01,1/1/17
ND,0.01,1/1/18
ND,0.01,1/1/19
ND,0.01,1/1/20
ND,0.01,1/1/21
ND,0.01,1/1/22
ND,0.01,1/1/23
ND,0.01,1/1/24
ND,0.01,1/1/25
OH,15.74,1/1/15
OH,16.24,1/1/16
OH,16.74,1/1/17
OH,17.24,1/1/18
OH,17.74,1/1/19
OH,18.24,1/1/20
OH,18.74,1/1/21
OH,19.24,1/1/22
OH,19.74,1/1/23
OH,20.24,1/1/24
OH,20.74,1/1/25
OK,3.64,1/1/15
OK,3.61,1/1/16
OK,3.57,1/1/17
OK,3.54,1/1/18
OK,3.50,1/1/19
OK,3.46,1/1/20
OK,3.43,1/1/21
OK,3.39,1/1/22
OK,3.36,1/1/23
OK,3.32,1/1/24
OK,3.29,1/1/25
OR,5.88,1/1/15
OR,6.25,1/1/16
OR,6.61,1/1/17
OR,6.98,1/1/18
OR,7.34,1/1/19
OR,7.71,1/1/20
OR,8.07,1/1/21
OR,8.44,1/1/22
OR,8.81,1/1/23
OR,9.17,1/1/24
OR,9.54,1/1/25
PA,17.05,1/1/15
PA,17.57,1/1/16
PA,18.08,1/1/17
PA,18.59,1/1/18
PA,19.11,1/1/19
PA,19.62,1/1/20
PA,20.14,1/1/21
PA,20.65,1/1/22
PA,21.17,1/1/23
PA,21.68,1/1/24
PA,22.19,1/1/25
RI,1.89,1/1/15
RI,1.99,1/1/16
RI,2.08,1/1/17
RI,2.18,1/1/18
RI,2.28,1/1/19
RI,2.37,1/1/20
RI,2.47,1/1/21
RI,2.56,1/1/22
RI,2.66,1/1/23
RI,2.75,1/1/24
RI,2.85,1/1/25
SC,4.35,1/1/15
SC,4.39,1/1/16
SC,4.44,1/1/17
SC,4.49,1/1/18
SC,4.53,1/1/19
SC,4.58,1/1/20
SC,4.63,1/1/21
SC,4.67,1/1/22
SC,4.72,1/1/23
SC,4.77,1/1/24
SC,4.81,1/1/25
SD,0.59,1/1/15
SD,0.63,1/1/16
SD,0.66,1/1/17
SD,0.70,1/1/18
SD,0.73,1/1/19
SD,0.77,1/1/20
SD,0.80,1/1/21
SD,0.84,1/1/22
SD,0.87,1/1/23
SD,0.91,1/1/24
SD,0.94,1/1/25
TN,6.67,1/1/15
TN,6.93,1/1/16
TN,7.19,1/1/17
TN,7.46,1/1/18
TN,7.72,1/1/19
TN,7.98,1/1/20
TN,8.25,1/1/21
TN,8.51,1/1/22
TN,8.78,1/1/23
TN,9.04,1/1/24
TN,9.30,1/1/25
TX,26.10,1/1/15
TX,26.35,1/1/16
TX,26.60,1/1/17
TX,26.85,1/1/18
TX,27.10,1/1/19
TX,27.35,1/1/20
TX,27.60,1/1/21
TX,27.85,1/1/22
TX,28.11,1/1/23
TX,28.36,1/1/24
TX,28.61,1/1/25
UT,1.60,1/1/15
UT,1.68,1/1/16
UT,1.75,1/1/17
UT,1.83,1/1/18
UT,1.90,1/1/19
UT,1.98,1/1/20
UT,2.05,1/1/21
UT,2.13,1/1/22
UT,2.21,1/1/23
UT,2.28,1/1/24
UT,2.36,1/1/25
VT,1.19,1/1/15
VT,1.21,1/1/16
VT,1.24,1/1/17
VT,1.26,1/1/18
VT,1.28,1/1/19
VT,1.31,1/1/20
VT,1.33,1/1/21
VT,1.35,1/1/22
VT,1.37,1/1/23
VT,1.40,1/1/24
VT,1.42,1/1/25
VA,5.91,1/1/15
VA,6.20,1/1/16
VA,6.50,1/1/17
VA,6.80,1/1/18
VA,7.09,1/1/19
VA,7.39,1/1/20
VA,7.69,1/1/21
VA,7.99,1/1/22
VA,8.28,1/1/23
VA,8.58,1/1/24
VA,8.88,1/1/25
WA,7.74,1/1/15
WA,8.07,1/1/16
WA,8.40,1/1/17
WA,8.73,1/1/18
WA,9.06,1/1/19
WA,9.39,1/1/20
WA,9.73,1/1/21
WA,10.06,1/1/22
WA,10.39,1/1/23
WA,10.72,1/1/24
WA,11.05,1/1/25
WV,2.68,1/1/15
WV,2.80,1/1/16
WV,2.91,1/1/17
WV,3.03,1/1/18
WV,3.15,1/1/19
WV,3.26,1/1/20
WV,3.38,1/1/21
WV,3.50,1/1/22
WV,3.61,1/1/23
WV,3.73,1/1/24
WV,3.85,1/1/25
WI,5.81,1/1/15
WI,5.99,1/1/16
WI,6.16,1/1/17
WI,6.33,1/1/18
WI,6.50,1/1/19
WI,6.68,1/1/20
WI,6.85,1/1/21
WI,7.02,1/1/22
WI,7.20,1/1/23
WI,7.37,1/1/24
WI,7.54,1/1/25
WY,0.41,1/1/15
WY,0.45,1/1/16
WY,0.49,1/1/17
WY,0.53,1/1/18
WY,0.57,1/1/19
WY,0.61,1/1/20
WY,0.65,1/1/21
WY,0.69,1/1/22
WY,0.73,1/1/23
WY,0.77,1/1/24
WY,0.81,1/1/25
